"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"47_19052401",15,NA,NA,"5/20/19","5/24/19 0:00",NA,NA,NA,"standard035","5/24/19 0:00","run19052401","5/24/19",2,"gc180508",47,19052401,NA,1.453,2.191,1.88234,4.58069,31.6735246951221,1048.08131970373,0,0
"48_19052401",15,NA,NA,"5/20/19","5/24/19 0:00",NA,NA,NA,"standard036","5/24/19 0:00","run19052401","5/24/19",2,"gc180508",48,19052401,NA,1.45,2.19,36.29333,23.91346,610.696093172973,5471.50117460083,0,0
"49_19052401",15,NA,NA,"5/20/19","5/24/19 0:00",NA,NA,NA,"standard037","5/24/19 0:00","run19052401","5/24/19",2,"gc180508",49,19052401,NA,1.45,2.189,188.33774,36.29631,3169.09806884701,8304.74982702946,0,0
"50_19052401",15,NA,NA,"5/20/19","5/24/19 0:00",NA,NA,NA,"standard038","5/24/19 0:00","run19052401","5/24/19",2,"gc180508",50,19052401,NA,1.449,2.188,2925.20996,64.57343,50647.55210389,16491.046623597,0,0
"51_19052401",15,NA,NA,"5/20/19","5/24/19 0:00",NA,NA,NA,"air","5/24/19 0:00","run19052401","5/24/19",4,"gc180508",51,19052401,NA,1.457,2.191,1.04718,2.33663,17.6205582361518,534.630864358714,0.727166257919672,22.0631786912666
"1_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"air","5/27/19 0:00","run19052701","5/27/19",1,"gc180508",1,19052701,NA,1.462,2.197,0.80135,1.93815,15.6306509866438,514.518644315615,0.645046645768954,21.2331863839178
"2_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard034","5/27/19 0:00","run19052701","5/27/19",1,"gc180508",2,19052701,NA,1.457,2.197,3.96921,1.86323,77.4210222782761,494.629710625175,0,0
"3_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard035","5/27/19 0:00","run19052701","5/27/19",1,"gc180508",3,19052701,NA,1.458,2.197,2.1114,4.89117,41.1836981259122,1298.45376132766,0,0
"4_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard036","5/27/19 0:00","run19052701","5/27/19",1,"gc180508",4,19052701,NA,1.455,2.195,32.19254,21.32705,627.928317356424,5661.66955769746,0,0
"5_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard037","5/27/19 0:00","run19052701","5/27/19",1,"gc180508",5,19052701,NA,1.454,2.194,167.24449,32.6031,3262.1704032311,8655.11070478881,0,0
"6_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard038","5/27/19 0:00","run19052701","5/27/19",1,"gc180508",6,19052701,NA,1.452,2.191,2697.73828,60.296,49396.3304819929,16641.7712785761,0,0
"7_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"air","5/27/19 0:00","run19052701","5/27/19",2,"gc180508",7,19052701,NA,1.46,2.196,1.54088,2.53056,30.0554782458348,671.785104640674,1.24033128537152,27.7232681349158
"8_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",8,19052701,NA,1.453,2.193,294.96777,24.15811,5753.4638612075,6413.22808163842,237.434292941222,264.661482502999
"9_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",9,19052701,NA,1.452,2.193,231.3642,20.14539,4512.85089037756,5347.97551892751,186.236602185084,220.700575624546
"10_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",10,19052701,NA,1.452,2.193,220.42416,19.12533,4299.461051955,5077.18126238359,177.430417488537,209.525421945636
"11_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",11,19052701,NA,1.452,2.192,229.91336,22.64113,4484.55167820128,6010.51699474943,185.068748593586,248.04237712897
"12_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",12,19052701,NA,1.452,2.192,212.60773,23.83,4146.99847094603,6326.12506464469,171.138582518315,261.066909954731
"13_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",13,19052701,NA,1.452,2.192,230.39716,22.17568,4493.9883899344,5886.95447224255,185.45818338141,242.943191512586
"14_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",14,19052701,NA,1.452,2.192,186.27002,21.13783,3633.27094514902,5611.43752308848,149.938044061042,231.573141470768
"15_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",15,19052701,NA,1.452,2.192,224.86636,23.9173,4386.10793260998,6349.30050392893,181.006166174922,262.023315378107
"16_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",16,19052701,NA,1.452,2.192,232.84872,24.27043,4541.80704437106,6443.04555403711,187.431566491039,265.891991748745
"17_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algalBES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",17,19052701,NA,1.451,2.191,189.1586,21.68831,3689.61384878288,5757.57287036442,152.26320639964,237.603863778442
"18_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algalBES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",18,19052701,NA,1.451,2.191,176.0415,22.46969,3433.7595877772,5965.00499806111,141.704597355881,246.164185310143
"19_19052701",33,"PE","DeepHole","5/23/19","5/23/19 14:00","lab","algalBES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",19,19052701,NA,1.451,2.191,227.46785,26.34192,4436.85103142478,6992.9618280682,183.100235431179,288.585969646442
"20_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",20,19052701,NA,1.451,2.191,196.3114,14.89551,3829.13206226921,3954.29539075391,158.020852431781,163.186100205614
"21_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",21,19052701,NA,1.451,2.192,217.06729,15.30202,4233.98396531678,4062.21117338205,174.728305135904,167.639575218862
"22_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","control",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",22,19052701,NA,1.452,2.192,248.50096,17.41123,4847.11022100947,4622.14093618521,200.030836361596,190.746790373945
"23_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",23,19052701,NA,1.451,2.191,143.17238,14.49931,2792.6343079892,3849.11659299427,115.246600718485,158.845575248667
"24_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",24,19052701,NA,1.451,2.191,214.82578,19.22034,4190.26241980848,5102.40346726785,172.924001764147,210.566293414994
"25_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","algal",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",25,19052701,NA,1.451,2.191,174.00591,15.06905,3394.05459390199,4000.36487223601,140.066049278685,165.087298340467
"26_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",26,19052701,NA,1.451,2.191,159.67644,17.68545,3114.55257307016,4694.93783149477,128.531543058997,193.750977031426
"27_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",27,19052701,NA,1.451,2.191,164.67873,17.34411,3212.12423230018,4604.32266030024,132.55813616521,190.011464692192
"28_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","BES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",28,19052701,NA,1.451,2.191,223.19202,21.09612,4353.44926389721,5600.36481320823,179.658406268668,231.116192212933
"29_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","algalBES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",29,19052701,NA,1.451,2.191,139.75934,16.17684,2726.06160312434,4294.44871971241,112.499274326927,177.223568259844
"30_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","algalBES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",30,19052701,NA,1.451,2.191,182.12889,17.40969,3552.49655478236,4621.73211400311,146.604641657357,190.729919075526
"31_19052701",33,"PA","DeepHole","5/23/19","5/23/19 14:00","lab","algalBES",NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",31,19052701,NA,1.451,2.191,138.10999,16.85632,2693.89037431693,4474.82956146335,111.171630120027,184.667535694844
"32_19052701",34,"PA","DeepHole","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",32,19052701,NA,1.451,2.19,350.5943,27.87092,6838.4814889957,7398.86385172921,282.210865714999,305.336758791251
"33_19052701",34,"PA","DeepHole","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",33,19052701,NA,1.45,2.19,265.09723,23.19381,5170.82707887446,6157.23637371409,213.390003137382,254.097201291529
"34_19052701",34,"PA","DeepHole","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",3,"gc180508",34,19052701,NA,1.45,2.19,298.58871,23.94555,5824.09173839422,6356.80000175001,240.348968428251,262.332805105602
"35_19052701",34,"PA","Littoral1","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",35,19052701,NA,1.45,2.191,53.05302,9.49133,1034.82029001988,2519.65340368502,42.7050260172374,103.981208328184
"36_19052701",34,"PA","Littoral2","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",36,19052701,NA,1.451,2.191,46.54999,10.06016,907.976099234742,2670.66010618279,37.4704123168133,110.212962016374
"37_19052701",34,"PA","Littoral3","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",3,"gc180508",37,19052701,NA,1.451,2.191,36.6257,8.84918,714.398869210109,2349.18251781588,29.4818555362076,96.9462055490224
"38_19052701",34,"PE","DeepHole","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",38,19052701,NA,1.45,2.19,348.35742,25.86854,6794.85025348187,6867.29413679244,280.410289261529,283.399907798588
"39_19052701",34,"PE","DeepHole","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",39,19052701,NA,1.45,2.19,435.59549,30.5033,8496.46356217146,8097.67900479968,350.632569709345,334.175504591781
"40_19052701",34,"PE","DeepHole","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",3,"gc180508",40,19052701,NA,1.45,2.19,389.35623,30.98271,7594.54837537333,8224.94747384044,313.412279491789,339.427627432796
"41_19052701",34,"PE","Littoral1","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",41,19052701,NA,1.45,2.191,103.80719,11.74042,2024.80059498874,3116.71696313285,83.559592832346,128.620863238385
"42_19052701",34,"PE","Littoral2","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",42,19052701,NA,1.451,2.191,18.13473,8.4762,353.725133046758,2250.16790906174,14.5975500822682,92.8600647149932
"43_19052701",34,"PE","Littoral3","5/22/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",3,"gc180508",43,19052701,NA,1.451,2.191,15.99776,6.86622,312.042681884434,1822.76820987682,12.8773961787193,75.2221082026593
"44_19052701",34,"PA","DeepHole","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",44,19052701,NA,1.45,2.19,285.07837,22.3837,5560.56717453212,5942.1773231006,229.473820864517,245.222131445812
"45_19052701",34,"PA","DeepHole","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",45,19052701,NA,1.45,2.19,351.00006,26.02716,6846.39599943975,6909.40282154921,282.5374822084,285.137651535769
"46_19052701",34,"PA","DeepHole","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",3,"gc180508",46,19052701,NA,1.45,2.19,282.61649,22.1048,5512.54722438424,5868.13803310776,227.492130671361,242.166673569758
"47_19052701",34,"PA","Littoral1","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",47,19052701,NA,1.45,2.191,55.28034,10.80783,1078.26505392526,2869.14327559458,44.497907149145,118.40397739891
"48_19052701",34,"PA","Littoral3","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",3,"gc180508",48,19052701,NA,1.451,2.191,96.16254,18.2521,1875.68865131238,4845.36581168281,77.4060321652497,199.958847972503
"49_19052701",34,"PE","DeepHole","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",49,19052701,NA,1.45,2.19,242.28505,21.43385,4725.86642020534,5690.02164149537,195.027339892011,234.816155599379
"50_19052701",34,"PE","DeepHole","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",50,19052701,NA,1.45,2.19,253.94615,23.88664,4953.32082117914,6341.16122593976,204.413941802508,261.687423164124
"51_19052701",34,"PE","DeepHole","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",3,"gc180508",51,19052701,NA,1.45,2.19,263.41119,21.82596,5137.94019700072,5794.11467125189,212.032825316664,239.111873017019
"52_19052701",34,"PE","Littoral1","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",1,"gc180508",52,19052701,NA,1.451,2.191,47.44735,14.44309,925.47946351923,3834.19192865796,38.1927422076815,158.229663302479
"53_19052701",34,"PE","Littoral2","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",2,"gc180508",53,19052701,NA,1.45,2.191,80.99801,16.49961,1579.89845251474,4380.13413251625,65.1993444368381,180.759639033075
"54_19052701",34,"PE","Littoral3","5/15/19","","methSlurry",NA,NA,"methSlurry","5/27/19 9:00","run19052701","5/27/19",3,"gc180508",54,19052701,NA,1.45,2.191,59.55788,12.79858,1161.70017568405,3397.62558664961,47.9411127760777,140.213417222342
"55_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"air","5/27/19 0:00","run19052701","5/27/19",3,"gc180508",55,19052701,NA,1.458,2.192,0.903453,1.50611,17.6222106767783,399.825439408813,0.727234450938914,16.5000203001225
"56_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard034","5/27/19 0:00","run19052701","5/27/19",2,"gc180508",56,19052701,NA,1.452,2.193,3.72285,1.36941,72.6156723349684,363.535834023294,0,0
"57_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard035","5/27/19 0:00","run19052701","5/27/19",2,"gc180508",57,19052701,NA,1.454,2.192,2.19852,3.40832,42.8830084322159,904.803129682324,0,0
"58_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard036","5/27/19 0:00","run19052701","5/27/19",2,"gc180508",58,19052701,NA,1.45,2.191,26.15776,17.12798,510.217529359696,4546.9468562624,0,0
"59_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard037","5/27/19 0:00","run19052701","5/27/19",2,"gc180508",59,19052701,NA,1.45,2.19,141.93317,27.17682,2768.46302327071,7214.60185393777,0,0
"60_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"standard038","5/27/19 0:00","run19052701","5/27/19",2,"gc180508",60,19052701,NA,1.45,2.189,2226.13672,48.72999,40783.918398505,12936.2992504778,0,0
"61_19052701",34,NA,NA,"5/27/19","5/27/19 0:00",NA,NA,NA,"air","5/27/19 0:00","run19052701","5/27/19",4,"gc180508",61,19052701,NA,1.458,2.192,1.2425,1.6645,24.2354574791351,441.873066307222,1.0001503180482,18.235244297929
